CPV 2007_Indicadores_20220822181815287,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Pais,Departamento,Provincia,Tema,Demográfico,Demográfico,Demográfico,Demográfico,Demográfico,Hogar,Hogar,Hogar,Hogar,Hogar,Social,Social,Social,Social,Social
 , , ,Sub Tema,Migración,Migración,Migración,Migración,Migración,Tipo Hogar,Tipo Hogar,Tipo Hogar,Tipo Hogar,Tipo Hogar,Seguro de Salud,Seguro de Salud,Seguro de Salud,Seguro de Salud,Seguro de Salud
 , , ,Descripcion,Tasa de Inmigración Reciente,Tasa de Inmigración Reciente,Tasa de Inmigración Reciente,Tasa de Inmigración Reciente,Tasa de Inmigración Reciente,Porcentaje de Hogares Unipersonales,Porcentaje de Hogares Unipersonales,Porcentaje de Hogares Unipersonales,Porcentaje de Hogares Unipersonales,Porcentaje de Hogares Unipersonales,Porcentaje de personas que tienen algún tipo de seguro,Porcentaje de personas que tienen algún tipo de seguro,Porcentaje de personas que tienen algún tipo de seguro,Porcentaje de personas que tienen algún tipo de seguro,Porcentaje de personas que tienen algún tipo de seguro
 , , ,Clase,Total,Área Urbana,Área Rural,Sexo - Hombre,Sexo - Mujer,Total,Área Urbana,Área Rural,Sexo - Hombre,Sexo - Mujer,Total,Área Urbana,Área Rural,Sexo - Hombre,Sexo - Mujer
 , , ,Indicadores,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor
Perú,Amazonas,Bagua, ,13.48,-,-,13.86,13.09,10.72,13.65,7.73,-,-,47.07,45.98,48.03,44.8,49.45
Perú,Amazonas,Bongará, ,38.94,-,-,42.45,35.25,10.64,11.77,8.86,-,-,33.15,35.39,29.8,32.41,33.94
Perú,Amazonas,Chachapoyas, ,24.22,-,-,25.96,22.57,15.78,16.5,14.15,-,-,48.41,49.66,45.63,46.19,50.57
Perú,Amazonas,Condorcanqui, ,5.37,-,-,6.45,4.28,7.55,10.6,7.02,-,-,52.97,57.26,52.22,52.42,53.54
Perú,Amazonas,Luya, ,9.62,-,-,9.87,9.35,11.35,12.65,10.37,-,-,46.01,47.34,45.1,43.9,48.26
Perú,Amazonas,Rodríguez de Mendoza, ,31.04,-,-,32.57,29.34,11.37,12.22,10.93,-,-,33.9,48.03,27.08,31.58,36.48
Perú,Amazonas,Utcubamba, ,14.23,-,-,14.99,13.4,10.26,12.24,8.6,-,-,42.85,44.18,41.84,41.45,44.38
Perú,Áncash,Aija, ,8.43,-,-,8.92,7.94,16.83,21.63,14.28,-,-,35.36,38.77,33.78,35.28,35.44
Perú,Áncash,Antonio Raymondi, ,8.55,-,-,9.48,7.64,13.11,14.85,12.44,-,-,44.19,46.2,43.48,44.43,43.95
Perú,Áncash,Asunción, ,7,-,-,8.04,6.04,16.26,10.31,18.06,-,-,40.74,49.57,37.74,43.75,37.9
Perú,Áncash,Bolognesi, ,21.16,-,-,28.73,13.23,18.44,18.48,18.36,-,-,28.1,29.59,25.57,31.49,24.43
Perú,Áncash,Carhuaz, ,6.72,-,-,6.85,6.6,12.02,14.21,10.82,-,-,25.22,25.87,24.89,26.2,24.31
Perú,Áncash,Carlos Fermín Fitzcarrald, ,5.38,-,-,5.97,4.84,13.06,16.6,12.3,-,-,42.12,43.08,41.94,43.26,41.06
Perú,Áncash,Casma, ,17.34,-,-,18.47,16.17,12.15,12.18,12.07,-,-,33.82,32.95,35.8,33.16,34.51
